query,trend_name,predicted_year,category,confirmed,confirmation_source,notes
bow outfit,Bow Stacking,2024,fashion/accessories,TRUE,Pinterest retrospective + mainstream media,"Bows dominated 2024 fashion. Sandy Liang made it her brand signature; Olivia Rodrigo wore bow corsets. Pinterest explicitly lists this among confirmed trends."
grandpacore,Eclectic Grandpa,2024,fashion,TRUE,Pinterest retrospective (explicitly named),"Pinterest explicitly confirmed: 'From Eclectic Grandpa to Blue Beauty these trends made an impact across culture.' Cardigans + retro streetwear went mainstream."
jellyfish haircut,Be Jelly,2024,fashion/beauty,TRUE,Mainstream media + viral coverage,"Jellyfish haircut went massively viral on TikTok (#JellyfishHair 35M+ views). Jellyfish silhouettes appeared in fashion and beauty categories."
metallic outfit,Hot Metals,2024,fashion,TRUE,Runway + media coverage,"Silver metallics dominated 2024 following Beyoncé Renaissance tour momentum. Metallic nail art and metal corsets surged. Confirmed across major fashion outlets."
western gothic outfit,Western Gothic,2024,fashion,TRUE,Mainstream media coverage,"Western-goth fusion was widely documented in 2024 fashion editorials and retail. Dark cowboy aesthetic + moody hues was a confirmed crossover trend."
blue eyeshadow aesthetic,Blue Beauty,2024,beauty/fashion,TRUE,Pinterest retrospective (explicitly named),"Pinterest explicitly named Blue Beauty as confirmed. Aquamarine makeup surged; blue mascara went mainstream across Gen Z and Millennials."
big hair accessories,Make It Big,2024,fashion/beauty,TRUE,Media coverage,"Oversized hair accessories and bold jewelry were a visible 2024 trend. Bug-eye sunglasses and giant scrunchies widely documented."
zero waste sewing patterns,Give a Scrap,2024,fashion/DIY,FALSE,Low mainstream penetration,"Patchwork DIY fashion remained niche. Did not reach a mainstream cultural moment despite Pinterest search growth."
jazz aesthetic clothing,Jazz Revival,2024,fashion/lifestyle,FALSE,Limited mainstream confirmation,"Jazz-inspired fashion did not achieve a mass cultural moment in 2024. Trend stayed subcultural on Pinterest and did not cross to retail."
tropical outfit aesthetic,Tropic Like It's Hot,2024,fashion,TRUE,Media + retail coverage,"Tropical prints and hibiscus aesthetics were visible in 2024 summer fashion across retail and social media."
customized denim jacket,Eclectic Grandpa (denim angle),2024,fashion,TRUE,Pinterest retrospective,"Customised denim was central to the confirmed Eclectic Grandpa aesthetic. Search for 'customized denim jacket' rose 355% YoY."
badminton outfit,Making a Racket,2024,sportswear/fashion,FALSE,Low mainstream penetration,"Badminton did not replace pickleball or reach predicted cultural significance. Fashion angle stayed minimal."
rococo outfit,Rococo Revival,2025,fashion,TRUE,Mainstream media + retail,"Searches for 'rococo outfit' rose 5465% on Pinterest. Corsets + frills + Bridgerton-core dominated 2025; widely documented by WWD and fashion press."
fisherman aesthetic outfit,Sea La Vie,2025,fashion,TRUE,Media + runway coverage,"Fisherman aesthetic (cable knits + nautical lug boots) was prominent on SS25 runways and in street style. Fisherman sandal searches up 30%; widely observed."
medieval core aesthetic,Castlecore,2025,fashion,TRUE,Mainstream media coverage,"Medieval-inspired fashion with chainmail + antique jewelry had a significant 2025 moment. Searches for 'medieval fashion' up 110%."
moto boho outfit,Moto Boho,2025,fashion,TRUE,Fashion media coverage,"Leather + flowing chiffon mix was documented in 2025 fashion press. Confirmed by WWD and others as a runway-to-street trend."
dollcore aesthetic,Dollcore,2025,fashion,TRUE,Mainstream media + viral coverage,"Baby doll aesthetic with Mary Janes + pastel palette had major 2025 cultural presence. Widely confirmed across social and retail."
cherry red outfit,Cherry Vibes,2025,fashion/beauty,TRUE,Mainstream media + retail,"Cherry red was the breakout color of 2025 across fashion + makeup + home. Widely confirmed and commercially successful across all categories."
solarpunk fashion,Terra Futura,2025,fashion,FALSE,Low mainstream penetration,"Solar punk fashion remained niche/subcultural in 2025 despite 115% search growth. Did not cross into mainstream retail."
matching couple outfits,Seeing Double,2025,fashion/lifestyle,TRUE,Social media + retail coverage,"Coordinated couple and friend dressing was a clear 2025 trend across social media and retail. Matching sets surged widely."
goddess drape dress,Goddess Aesthetic,2025,fashion,TRUE,Fashion media coverage,"Body-hugging draped dresses with gilded accents documented in 2025 fashion editorials as a confirmed aesthetic."
